Proto,Local Address,Foreign Address,State,PID,Foreign IP Address,Port,,,
TCP,0.0.0.0:135,0.0.0.0:0,LISTENING,1156,0.0.0.0,0,,,
TCP,0.0.0.0:445,0.0.0.0:0,LISTENING,4,0.0.0.0,0,,,
TCP,0.0.0.0:808,0.0.0.0:0,LISTENING,5096,0.0.0.0,0,,,
TCP,0.0.0.0:5040,0.0.0.0:0,LISTENING,7116,0.0.0.0,0,,,
TCP,0.0.0.0:5426,0.0.0.0:0,LISTENING,4,0.0.0.0,0,,,
TCP,0.0.0.0:7680,0.0.0.0:0,LISTENING,33768,0.0.0.0,0,,,
TCP,0.0.0.0:49664,0.0.0.0:0,LISTENING,884,0.0.0.0,0,,,
TCP,0.0.0.0:49665,0.0.0.0:0,LISTENING,1004,0.0.0.0,0,,,
TCP,0.0.0.0:49666,0.0.0.0:0,LISTENING,1944,0.0.0.0,0,,,
TCP,0.0.0.0:49667,0.0.0.0:0,LISTENING,1924,0.0.0.0,0,,,
TCP,0.0.0.0:49668,0.0.0.0:0,LISTENING,4236,0.0.0.0,0,,,
TCP,0.0.0.0:49670,0.0.0.0:0,LISTENING,636,0.0.0.0,0,,,
TCP,0.0.0.0:54235,0.0.0.0:0,LISTENING,4,0.0.0.0,0,,,
TCP,0.0.0.0:54236,0.0.0.0:0,LISTENING,4,0.0.0.0,0,,,
TCP,127.0.0.1:1029,127.0.0.1:9100,ESTABLISHED,36480,127.0.0.1,9100,,,
TCP,127.0.0.1:1032,127.0.0.1:9010,ESTABLISHED,58728,127.0.0.1,9010,,,
TCP,127.0.0.1:1037,127.0.0.1:65001,ESTABLISHED,5232,127.0.0.1,65001,,,
TCP,127.0.0.1:1048,0.0.0.0:0,LISTENING,52556,0.0.0.0,0,,,
TCP,127.0.0.1:1095,0.0.0.0:0,LISTENING,47020,0.0.0.0,0,,,
TCP,127.0.0.1:1095,127.0.0.1:1144,ESTABLISHED,47020,127.0.0.1,1144,,,
TCP,127.0.0.1:1144,127.0.0.1:1095,ESTABLISHED,63400,127.0.0.1,1095,,,
TCP,127.0.0.1:1337,0.0.0.0:0,LISTENING,28448,0.0.0.0,0,,,
TCP,127.0.0.1:6463,0.0.0.0:0,LISTENING,52352,0.0.0.0,0,,,
TCP,127.0.0.1:6942,0.0.0.0:0,LISTENING,55184,0.0.0.0,0,,,
TCP,127.0.0.1:9010,0.0.0.0:0,LISTENING,36480,0.0.0.0,0,,,
TCP,127.0.0.1:9010,127.0.0.1:1032,ESTABLISHED,36480,127.0.0.1,1032,,,
TCP,127.0.0.1:9080,0.0.0.0:0,LISTENING,36480,0.0.0.0,0,,,
TCP,127.0.0.1:9100,0.0.0.0:0,LISTENING,12476,0.0.0.0,0,,,
TCP,127.0.0.1:9100,127.0.0.1:1029,ESTABLISHED,12476,127.0.0.1,1029,,,
TCP,127.0.0.1:9180,0.0.0.0:0,LISTENING,12476,0.0.0.0,0,,,
TCP,127.0.0.1:13339,0.0.0.0:0,LISTENING,28448,0.0.0.0,0,,,
TCP,127.0.0.1:13340,0.0.0.0:0,LISTENING,16076,0.0.0.0,0,,,
TCP,127.0.0.1:29103,127.0.0.1:29104,ESTABLISHED,55184,127.0.0.1,29104,,,
TCP,127.0.0.1:29104,127.0.0.1:29103,ESTABLISHED,55184,127.0.0.1,29103,,,
TCP,127.0.0.1:29105,127.0.0.1:29106,ESTABLISHED,55184,127.0.0.1,29106,,,
TCP,127.0.0.1:29106,127.0.0.1:29105,ESTABLISHED,55184,127.0.0.1,29105,,,
TCP,127.0.0.1:29107,127.0.0.1:29108,ESTABLISHED,55184,127.0.0.1,29108,,,
TCP,127.0.0.1:29108,127.0.0.1:29107,ESTABLISHED,55184,127.0.0.1,29107,,,
TCP,127.0.0.1:45654,0.0.0.0:0,LISTENING,36480,0.0.0.0,0,,,
TCP,127.0.0.1:63342,0.0.0.0:0,LISTENING,55184,0.0.0.0,0,,,
TCP,127.0.0.1:65001,0.0.0.0:0,LISTENING,5232,0.0.0.0,0,,,
TCP,127.0.0.1:65001,127.0.0.1:1037,ESTABLISHED,5232,127.0.0.1,1037,,,
TCP,192.168.200.232:139,0.0.0.0:0,LISTENING,4,0.0.0.0,0,,,
TCP,192.168.200.232:1054,52.154.245.177:443,CLOSE_WAIT,47616,52.154.245.177,443,,,
TCP,192.168.200.232:1072,13.64.180.106:443,ESTABLISHED,4208,13.64.180.106,443,,,
TCP,192.168.200.232:1075,3.229.207.120:443,ESTABLISHED,50068,3.229.207.120,443,,,
TCP,192.168.200.232:1076,54.173.95.250:443,ESTABLISHED,50068,54.173.95.250,443,,,
TCP,192.168.200.232:1186,40.83.247.108:443,ESTABLISHED,52544,40.83.247.108,443,,,
TCP,192.168.200.232:1201,18.209.201.158:443,ESTABLISHED,5148,18.209.201.158,443,,,
TCP,192.168.200.232:2383,54.201.29.151:443,ESTABLISHED,50068,54.201.29.151,443,,,
TCP,192.168.200.232:2384,34.216.175.109:443,ESTABLISHED,50068,34.216.175.109,443,,,
TCP,192.168.200.232:23109,162.159.134.234:443,ESTABLISHED,49556,162.159.134.234,443,,,
TCP,192.168.200.232:25621,52.114.148.155:443,ESTABLISHED,19944,52.114.148.155,443,,,
TCP,192.168.200.232:25642,52.114.132.33:443,ESTABLISHED,53532,52.114.132.33,443,,,
TCP,192.168.200.232:28727,199.232.78.167:443,ESTABLISHED,50068,199.232.78.167,443,,,
TCP,192.168.200.232:29381,72.21.91.29:80,CLOSE_WAIT,47648,72.21.91.29,80,,,
TCP,[::]:135,[::]:0,LISTENING,1156,[,,],0,
TCP,[::]:445,[::]:0,LISTENING,4,[,,],0,
TCP,[::]:808,[::]:0,LISTENING,5096,[,,],0,
TCP,[::]:5426,[::]:0,LISTENING,4,[,,],0,
TCP,[::]:7680,[::]:0,LISTENING,33768,[,,],0,
TCP,[::]:49664,[::]:0,LISTENING,884,[,,],0,
TCP,[::]:49665,[::]:0,LISTENING,1004,[,,],0,
TCP,[::]:49666,[::]:0,LISTENING,1944,[,,],0,
TCP,[::]:49667,[::]:0,LISTENING,1924,[,,],0,
TCP,[::]:49668,[::]:0,LISTENING,4236,[,,],0,
TCP,[::]:49670,[::]:0,LISTENING,636,[,,],0,
TCP,[::]:54235,[::]:0,LISTENING,4,[,,],0,
TCP,[::]:54236,[::]:0,LISTENING,4,[,,],0,
TCP,[::1]:1039,[::1]:5426,ESTABLISHED,52372,[,,1],5426,
TCP,[::1]:1042,[::1]:5426,ESTABLISHED,52372,[,,1],5426,
TCP,[::1]:1045,[::1]:5426,ESTABLISHED,52372,[,,1],5426,
TCP,[::1]:1049,[::1]:5426,ESTABLISHED,52372,[,,1],5426,
TCP,[::1]:1170,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:5426,[::1]:1039,ESTABLISHED,4,[,,1],1039,
TCP,[::1]:5426,[::1]:1042,ESTABLISHED,4,[,,1],1042,
TCP,[::1]:5426,[::1]:1045,ESTABLISHED,4,[,,1],1045,
TCP,[::1]:5426,[::1]:1049,ESTABLISHED,4,[,,1],1049,
TCP,[::1]:5426,[::1]:1170,ESTABLISHED,4,[,,1],1170,
TCP,[::1]:5426,[::1]:19321,ESTABLISHED,4,[,,1],19321,
TCP,[::1]:5426,[::1]:19328,ESTABLISHED,4,[,,1],19328,
TCP,[::1]:5426,[::1]:19331,ESTABLISHED,4,[,,1],19331,
TCP,[::1]:5426,[::1]:19336,ESTABLISHED,4,[,,1],19336,
TCP,[::1]:5426,[::1]:19341,ESTABLISHED,4,[,,1],19341,
TCP,[::1]:5426,[::1]:19342,ESTABLISHED,4,[,,1],19342,
TCP,[::1]:5426,[::1]:19349,ESTABLISHED,4,[,,1],19349,
TCP,[::1]:5426,[::1]:19354,ESTABLISHED,4,[,,1],19354,
TCP,[::1]:13337,[::]:0,LISTENING,28448,[,,],0,
TCP,[::1]:19321,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19328,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19331,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19336,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19341,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19342,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19349,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:19354,[::1]:5426,ESTABLISHED,60144,[,,1],5426,
TCP,[::1]:49669,[::]:0,LISTENING,5828,[,,],0,
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:1024,[2600:1901:1:c3,6::]:443  ESTABLISHED     49556,93,6a9a,b7ec,cc0],1024
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:1055,[2606:4700::681,2:18f3]:80  CLOSE_WAIT      47616,93,6a9a,b7ec,cc0],1055
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:2386,[2607:5300:60:4,fc3::]:443  ESTABLISHED     50068,93,6a9a,b7ec,cc0],2386
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:7375,[2600:1901:1:e5,2::]:443  ESTABLISHED     49556,93,6a9a,b7ec,cc0],7375
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:23196,[2600:9000:21b,8:2c00:c:132:48e:f021]:443  ESTABLISHED     50068,93,6a9a,b7ec,cc0],23196
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:23197,[2600:9000:219,8:e600:19:f28c:cd8e:cd41]:443  ESTABLISHED     50068,93,6a9a,b7ec,cc0],23197
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:23200,[2607:f8b0:400,2:c02::5e]:443  ESTABLISHED     50068,93,6a9a,b7ec,cc0],23200
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:25692,[2607:f8b0:400,2:c05::bc]:5228  ESTABLISHED     50068,93,6a9a,b7ec,cc0],25692
TCP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:29380,[2600:1407:340,0:2af::57]:443  CLOSE_WAIT      47648,93,6a9a,b7ec,cc0],29380
UDP,0.0.0.0:5050,*:*,,7116,*,*,,,
UDP,0.0.0.0:5353,*:*,,3452,*,*,,,
UDP,0.0.0.0:5353,*:*,,35428,*,*,,,
UDP,0.0.0.0:5353,*:*,,35428,*,*,,,
UDP,0.0.0.0:5355,*:*,,3452,*,*,,,
UDP,0.0.0.0:50806,*:*,,50068,*,*,,,
UDP,0.0.0.0:51653,*:*,,53532,*,*,,,
UDP,0.0.0.0:53725,*:*,,53532,*,*,,,
UDP,0.0.0.0:54915,*:*,,36480,*,*,,,
UDP,0.0.0.0:57168,*:*,,50068,*,*,,,
UDP,0.0.0.0:58760,*:*,,5232,*,*,,,
UDP,0.0.0.0:62731,*:*,,50068,*,*,,,
UDP,0.0.0.0:63254,*:*,,50068,*,*,,,
UDP,127.0.0.1:1900,*:*,,2828,*,*,,,
UDP,127.0.0.1:10190,*:*,,47020,*,*,,,
UDP,127.0.0.1:10191,*:*,,63480,*,*,,,
UDP,127.0.0.1:49664,*:*,,5460,*,*,,,
UDP,127.0.0.1:50083,*:*,,52156,*,*,,,
UDP,127.0.0.1:61387,*:*,,2828,*,*,,,
UDP,192.168.200.232:137,*:*,,4,*,*,,,
UDP,192.168.200.232:138,*:*,,4,*,*,,,
UDP,192.168.200.232:1900,*:*,,2828,*,*,,,
UDP,192.168.200.232:2177,*:*,,18996,*,*,,,
UDP,192.168.200.232:5353,*:*,,5232,*,*,,,
UDP,192.168.200.232:61386,*:*,,2828,*,*,,,
UDP,[::]:5353,*:*,,3452,*,*,,,
UDP,[::]:5353,*:*,,35428,*,*,,,
UDP,[::]:5355,*:*,,3452,*,*,,,
UDP,[::]:50806,*:*,,50068,*,*,,,
UDP,[::]:51653,*:*,,53532,*,*,,,
UDP,[::]:53725,*:*,,53532,*,*,,,
UDP,[::]:54915,*:*,,36480,*,*,,,
UDP,[::]:57168,*:*,,50068,*,*,,,
UDP,[::]:58761,*:*,,5232,*,*,,,
UDP,[::]:62731,*:*,,50068,*,*,,,
UDP,[::]:63254,*:*,,50068,*,*,,,
UDP,[::1]:1900,*:*,,2828,*,*,,,
UDP,[::1]:5353,*:*,,5232,*,*,,,
UDP,[::1]:61385,*:*,,2828,*,*,,,
UDP,[2600:2b00:7213:5300::b,c3e]:2177  *:*,,18996,c3e],2177  *,*,,
UDP,[2600:2b00:7213:5300:11,93:6a9a:b7ec:cc0]:2177,*:*,18996,93,6a9a,b7ec,cc0],2177
UDP,[2600:2b00:7213:5300:d1,72:f105:2d02:c1d2]:2177,*:*,18996,72,f105,2d02,c1d2],2177
UDP,[fe80::d172:f105:2d02:c,1d2%12]:1900  *:*,,2828,1d2%12],1900  *,*,,
UDP,[fe80::d172:f105:2d02:c,1d2%12]:2177  *:*,,18996,1d2%12],2177  *,*,,
UDP,[fe80::d172:f105:2d02:c,1d2%12]:61384  *:*,,2828,1d2%12],61384  *,*,,
,,,,,103.81.182.1,,,,
,,,,,1.0.158.59,,,,
,,,,,167.248.133.60,,,,
